iter	MultiClass
0	2.371080634
1	2.344756728
2	2.318923632
3	2.290053064
4	2.265831257
5	2.234057129
6	2.206097293
7	2.180783324
8	2.156548699
9	2.130973685
10	2.114294647
11	2.093119571
12	2.078674938
13	2.056039238
14	2.032901717
15	2.011029592
16	1.989978858
17	1.969058694
18	1.949997267
19	1.929252523
20	1.909039378
21	1.893464019
22	1.874440116
23	1.855538369
24	1.83969871
25	1.826119433
26	1.810523545
27	1.79533384
28	1.778154757
29	1.76322207
30	1.747026788
31	1.731793218
32	1.715848331
33	1.698819898
34	1.682982514
35	1.66873867
36	1.654311902
37	1.646886046
38	1.634201126
39	1.61781207
40	1.605671196
41	1.591619513
42	1.578360718
43	1.564179441
44	1.549352369
45	1.536137567
46	1.525213645
47	1.512106492
48	1.499113072
49	1.487282323
50	1.476718716
51	1.464420268
52	1.460009665
53	1.448260756
54	1.437661832
55	1.427248558
56	1.415591066
57	1.412318663
58	1.401461572
59	1.389078907
60	1.37924194
61	1.36851669
62	1.357150218
63	1.345453838
64	1.333572858
65	1.330508218
66	1.321134615
67	1.311780506
68	1.30313415
69	1.29326749
70	1.284328395
71	1.275790057
72	1.267588076
73	1.260700146
74	1.253129628
75	1.243985837
76	1.235531737
77	1.22698367
78	1.218003176
79	1.209737958
80	1.20506096
81	1.197453573
82	1.188855974
83	1.182318713
84	1.174029499
85	1.165634783
86	1.157711384
87	1.149937456
88	1.14343308
89	1.134875969
90	1.130755931
91	1.127073431
92	1.120300359
93	1.112980061
94	1.106427882
95	1.101643226
96	1.095708232
97	1.090800363
98	1.082733727
99	1.075460039
100	1.071880705
101	1.064326124
102	1.056840431
103	1.052905338
104	1.046539826
105	1.038885165
106	1.031360714
107	1.025041071
108	1.018583587
109	1.011910584
110	1.004860556
111	0.9981732872
112	0.9917346132
113	0.9857627301
114	0.9813159206
115	0.9756597637
116	0.9708945079
117	0.9655700388
118	0.9595900276
119	0.9544957332
120	0.9504615765
121	0.945519425
122	0.9396787562
123	0.933693185
124	0.9297668742
125	0.9249235884
126	0.92078849
