iter	Passed	Remaining
0	7	7646
1	14	7136
2	19	6550
3	24	6119
4	29	5969
5	35	5931
6	40	5803
7	46	5802
8	52	5824
9	56	5635
10	62	5643
11	67	5586
12	69	5309
13	74	5264
14	80	5309
15	85	5264
16	91	5272
17	98	5383
18	104	5380
19	109	5373
20	116	5439
21	122	5441
22	128	5447
23	135	5505
24	140	5462
25	145	5448
26	150	5435
27	155	5409
28	162	5428
29	166	5397
30	172	5393
31	178	5406
32	184	5397
33	189	5374
34	195	5402
35	201	5400
36	207	5403
37	210	5326
38	216	5322
39	220	5292
40	227	5326
41	233	5321
42	239	5320
43	245	5336
44	251	5336
45	257	5331
46	259	5268
47	265	5262
48	270	5251
49	276	5254
50	282	5252
51	287	5245
52	290	5186
53	295	5177
54	300	5169
55	306	5165
56	312	5166
57	313	5087
58	318	5077
59	323	5068
60	328	5063
61	334	5063
62	339	5054
63	345	5051
64	351	5050
65	352	4983
66	357	4976
67	362	4973
68	368	4970
69	373	4962
70	378	4954
71	383	4945
72	389	4945
73	394	4937
74	400	4938
75	405	4932
76	411	4934
77	417	4934
78	422	4930
79	427	4919
80	432	4909
81	437	4893
82	442	4893
83	448	4887
84	454	4893
85	460	4889
86	466	4891
87	471	4891
88	477	4883
89	483	4884
90	487	4869
91	492	4857
92	497	4856
93	502	4847
94	509	4849
95	513	4837
96	518	4825
97	523	4814
98	528	4810
99	533	4804
100	539	4804
101	545	4800
102	551	4804
103	556	4797
104	562	4794
105	567	4790
106	573	4782
107	578	4777
108	584	4775
109	589	4770
110	594	4762
111	599	4751
112	604	4746
113	610	4746
114	616	4740
115	620	4730
116	625	4720
117	631	4720
118	636	4714
119	642	4710
120	647	4706
121	652	4696
122	657	4688
123	663	4685
124	668	4681
125	673	4674
126	679	4670
127	684	4662
128	689	4657
129	695	4656
130	700	4649
131	706	4643
132	712	4646
133	718	4643
134	723	4638
135	729	4634
136	735	4630
137	739	4620
138	744	4612
139	750	4609
140	755	4604
141	761	4598
142	766	4596
143	773	4599
144	778	4591
145	784	4586
146	790	4585
147	795	4580
148	800	4572
149	807	4573
150	812	4569
151	818	4564
152	823	4561
153	829	4555
154	834	4547
155	839	4540
156	844	4533
157	849	4528
158	856	4531
159	861	4525
160	867	4522
161	873	4515
162	878	4509
163	883	4505
164	889	4500
165	894	4493
166	900	4493
167	906	4491
168	912	4485
169	917	4479
170	922	4474
171	928	4467
172	933	4462
173	939	4458
174	944	4452
175	949	4444
176	955	4441
177	960	4435
178	966	4432
179	971	4425
180	976	4418
181	982	4413
182	987	4409
183	993	4404
184	999	4401
185	1004	4396
186	1010	4392
187	1015	4386
188	1021	4382
189	1027	4379
190	1033	4375
191	1038	4370
192	1044	4365
193	1049	4360
194	1055	4355
195	1060	4351
196	1067	4349
197	1072	4342
198	1077	4338
199	1083	4334
200	1088	4326
201	1093	4320
202	1099	4316
203	1103	4306
204	1109	4302
205	1114	4296
206	1120	4293
207	1125	4285
208	1131	4283
209	1136	4276
210	1142	4271
211	1147	4266
212	1153	4260
213	1159	4257
214	1164	4253
215	1169	4245
216	1175	4242
217	1181	4237
218	1187	4235
219	1194	4233
220	1199	4228
221	1205	4223
222	1211	4220
223	1216	4215
224	1222	4209
225	1227	4202
226	1232	4196
227	1237	4190
228	1243	4187
229	1248	4179
230	1253	4172
231	1258	4167
232	1264	4162
233	1269	4156
234	1276	4153
235	1280	4145
236	1285	4139
237	1290	4132
238	1295	4125
239	1301	4121
240	1307	4118
241	1312	4109
242	1317	4105
243	1323	4101
244	1329	4096
245	1334	4089
246	1339	4083
247	1344	4076
248	1349	4071
249	1355	4067
250	1360	4060
251	1366	4056
252	1371	4050
253	1377	4044
254	1382	4038
255	1388	4033
256	1393	4029
257	1399	4025
258	1405	4022
259	1410	4015
260	1416	4011
261	1422	4005
262	1426	3998
263	1432	3993
264	1437	3988
265	1443	3982
266	1449	3979
267	1455	3974
268	1460	3968
269	1465	3962
270	1471	3957
271	1476	3951
272	1482	3947
273	1487	3941
274	1492	3935
275	1498	3930
276	1502	3921
277	1507	3916
278	1514	3914
279	1520	3910
280	1525	3903
281	1531	3899
282	1536	3893
283	1541	3886
284	1546	3879
285	1551	3873
286	1556	3867
287	1562	3863
288	1568	3859
289	1574	3854
290	1580	3850
291	1585	3844
292	1590	3838
293	1597	3835
294	1602	3830
295	1608	3824
296	1613	3818
297	1618	3812
298	1623	3806
299	1629	3802
300	1635	3797
301	1640	3791
302	1646	3787
303	1651	3780
304	1656	3774
305	1662	3770
